instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
133,06-01-2011,1,0,1,18,False,4,1,0.22,0.2273,0.51,0.1343,5,158,163.0
134,06-01-2011,1,0,1,19,False,4,1,0.22,0.2576,0.55,0.0896,3,109,112.0
135,06-01-2011,1,0,1,20,False,4,1,0.2,0.2121,0.51,0.1642,3,66,69.0
136,06-01-2011,1,0,1,21,False,4,2,0.22,0.2121,0.55,0.2239,0,48,48.0
137,06-01-2011,1,0,1,22,False,4,2,0.22,0.2121,0.51,0.2836,1,51,52.0
138,06-01-2011,1,0,1,23,False,4,2,0.2,0.197,0.59,0.194,4,19,23.0
139,07-01-2011,1,0,1,0,False,5,2,0.2,0.197,0.64,0.194,4,13,17.0
140,07-01-2011,1,0,1,1,False,5,2,0.2,0.197,0.69,0.2239,2,5,7.0
141,07-01-2011,1,0,1,2,False,5,2,0.2,0.197,0.69,0.2239,0,1,1.0
142,07-01-2011,1,0,1,4,False,5,2,0.2,0.2121,0.69,0.1343,0,1,1.0
143,07-01-2011,1,0,1,5,False,5,3,0.22,0.2727,0.55,0.0,0,5,5.0
144,07-01-2011,1,0,1,6,False,5,2,0.2,0.2576,0.69,0.0,8,26,34.0
145,07-01-2011,1,0,1,7,False,5,1,0.2,0.2121,0.69,0.1343,8,76,84.0
146,07-01-2011,1,0,1,8,False,5,1,0.2,0.197,0.51,0.2537,20,190,183.5
147,07-01-2011,1,0,1,9,False,5,1,0.2,0.1818,0.47,0.2985,9,125,134.0
148,07-01-2011,1,0,1,10,False,5,1,0.22,0.197,0.37,0.3284,16,47,63.0
149,07-01-2011,1,0,1,11,False,5,2,0.2,0.197,0.4,0.2239,19,48,67.0
150,07-01-2011,1,0,1,12,False,5,2,0.2,0.197,0.37,0.2537,9,50,59.0
151,07-01-2011,1,0,1,13,False,5,2,0.2,0.1818,0.37,0.2836,9,64,73.0
152,07-01-2011,1,0,1,14,False,5,2,0.2,0.197,0.4,0.2537,7,43,50.0
153,07-01-2011,1,0,1,15,False,5,2,0.2,0.2121,0.37,0.1642,9,63,72.0
154,07-01-2011,1,0,1,16,False,5,2,0.2,0.2121,0.37,0.1642,5,82,87.0
155,07-01-2011,1,0,1,17,False,5,2,0.2,0.2576,0.37,0.0,9,178,183.5
156,07-01-2011,1,0,1,18,False,5,1,0.2,0.2273,0.4,0.0896,7,116,123.0
157,07-01-2011,1,0,1,19,False,5,1,0.16,0.197,0.55,0.0896,3,92,95.0
158,07-01-2011,1,0,1,20,False,5,1,0.18,0.2121,0.47,0.1045,1,50,51.0
159,07-01-2011,1,0,1,21,False,5,1,0.18,0.197,0.47,0.1343,0,39,39.0
160,07-01-2011,1,0,1,22,False,5,2,0.18,0.197,0.43,0.1642,2,34,36.0
161,07-01-2011,1,0,1,23,False,5,2,0.18,0.197,0.51,0.1642,1,14,15.0
162,08-01-2011,1,0,1,0,False,6,2,0.18,0.197,0.51,0.1642,1,24,25.0
163,08-01-2011,1,0,1,1,False,6,2,0.18,0.2121,0.55,0.0896,1,15,16.0
164,08-01-2011,1,0,1,2,False,6,2,0.18,0.2424,0.55,0.0,3,13,16.0
165,08-01-2011,1,0,1,3,False,6,3,0.18,0.197,0.55,0.1642,0,7,7.0
166,08-01-2011,1,0,1,4,False,6,3,0.18,0.197,0.55,0.1642,0,1,1.0
167,08-01-2011,1,0,1,5,False,6,2,0.16,0.1667,0.74,0.1642,0,5,5.0
168,08-01-2011,1,0,1,6,False,6,2,0.16,0.1667,0.74,0.1642,0,2,2.0
169,08-01-2011,1,0,1,7,False,6,2,0.16,0.1818,0.74,0.1045,1,8,9.0
170,08-01-2011,1,0,1,8,False,6,3,0.16,0.1818,0.93,0.1045,0,15,15.0
171,08-01-2011,1,0,1,9,False,6,3,0.16,0.1818,0.93,0.1045,0,20,20.0
172,08-01-2011,1,0,1,10,False,6,2,0.18,0.197,0.8,0.1642,5,56,61.0
173,08-01-2011,1,0,1,11,False,6,2,0.2,0.1818,0.69,0.3881,2,60,62.0
174,08-01-2011,1,0,1,12,False,6,2,0.2,0.1818,0.59,0.3582,8,90,98.0
175,08-01-2011,1,0,1,13,False,6,1,0.2,0.1818,0.44,0.3284,7,95,102.0
176,08-01-2011,1,0,1,14,False,6,1,0.2,0.1667,0.32,0.4925,12,83,95.0
177,08-01-2011,1,0,1,15,False,6,1,0.2,0.1667,0.32,0.4478,5,69,74.0
178,08-01-2011,1,0,1,16,False,6,1,0.18,0.1364,0.29,0.4478,8,68,76.0
179,08-01-2011,1,0,1,17,False,6,1,0.16,0.1212,0.37,0.5522,5,64,69.0
180,08-01-2011,1,0,1,18,False,6,1,0.14,0.1212,0.39,0.2985,3,52,55.0
181,08-01-2011,1,0,1,19,False,6,1,0.14,0.1212,0.36,0.2537,4,26,30.0
182,08-01-2011,1,0,1,20,False,6,1,0.12,0.1212,0.36,0.2537,0,28,28.0
183,08-01-2011,1,0,1,21,False,6,1,0.12,0.1061,0.39,0.3582,2,35,37.0
184,08-01-2011,1,0,1,22,False,6,1,0.12,0.1061,0.36,0.3881,1,33,34.0
185,08-01-2011,1,0,1,23,False,6,1,0.1,0.0606,0.39,0.4478,0,22,22.0
186,09-01-2011,1,0,1,0,False,0,1,0.1,0.0758,0.42,0.3881,1,24,25.0
187,09-01-2011,1,0,1,1,False,0,1,0.1,0.0606,0.42,0.4627,0,12,12.0
188,09-01-2011,1,0,1,2,False,0,1,0.1,0.0606,0.46,0.4627,0,11,11.0
189,09-01-2011,1,0,1,3,False,0,1,0.1,0.0758,0.46,0.4179,0,4,4.0
190,09-01-2011,1,0,1,4,False,0,1,0.08,0.0909,0.53,0.194,0,1,1.0
191,09-01-2011,1,0,1,5,False,0,1,0.08,0.0909,0.53,0.194,0,1,1.0
192,09-01-2011,1,0,1,6,False,0,1,0.1,0.0909,0.49,0.2836,0,1,1.0
193,09-01-2011,1,0,1,7,False,0,1,0.08,0.0909,0.53,0.194,1,5,6.0
194,09-01-2011,1,0,1,8,False,0,1,0.1,0.0909,0.49,0.2836,0,10,10.0
195,09-01-2011,1,0,1,9,False,0,1,0.12,0.0758,0.46,0.5224,0,19,19.0
196,09-01-2011,1,0,1,10,False,0,1,0.14,0.1061,0.43,0.3881,0,49,49.0
197,09-01-2011,1,0,1,11,False,0,1,0.16,0.1212,0.4,0.5224,2,47,49.0
198,09-01-2011,1,0,1,12,False,0,1,0.18,0.1364,0.37,0.4478,4,79,83.0
199,09-01-2011,1,0,1,13,False,0,1,0.2,0.1667,0.34,0.4478,6,69,75.0
200,09-01-2011,1,0,1,14,False,0,1,0.22,0.1818,0.32,0.4627,8,64,72.0
201,09-01-2011,1,0,1,15,False,0,1,0.22,0.197,0.35,0.3582,5,77,82.0
202,09-01-2011,1,0,1,16,False,0,1,0.2,0.1667,0.34,0.4478,13,79,92.0
203,09-01-2011,1,0,1,17,False,0,1,0.18,0.1515,0.37,0.3881,3,59,62.0
204,09-01-2011,1,0,1,18,False,0,1,0.16,0.1364,0.4,0.3284,4,44,48.0
205,09-01-2011,1,0,1,19,False,0,1,0.16,0.1364,0.43,0.3284,1,40,41.0
206,09-01-2011,1,0,1,20,False,0,1,0.14,0.1212,0.46,0.2537,0,38,38.0
207,09-01-2011,1,0,1,21,False,0,1,0.14,0.1061,0.46,0.4179,1,19,20.0
208,09-01-2011,1,0,1,22,False,0,1,0.14,0.1212,0.46,0.2985,5,10,15.0
209,09-01-2011,1,0,1,23,False,0,1,0.12,0.1364,0.5,0.194,0,6,6.0
210,10-01-2011,1,0,1,0,False,1,1,0.12,0.1212,0.5,0.2836,2,3,5.0
211,10-01-2011,1,0,1,1,False,1,1,0.12,0.1212,0.5,0.2836,1,0,1.0
212,10-01-2011,1,0,1,2,False,1,1,0.12,0.1212,0.5,0.2239,0,3,3.0
213,10-01-2011,1,0,1,3,False,1,1,0.12,0.1212,0.5,0.2239,0,1,1.0
214,10-01-2011,1,0,1,4,False,1,1,0.1,0.1212,0.54,0.1343,1,2,3.0
215,10-01-2011,1,0,1,5,False,1,1,0.1,0.1061,0.54,0.2537,0,3,3.0
216,10-01-2011,1,0,1,6,False,1,1,0.12,0.1212,0.5,0.2836,0,31,31.0
217,10-01-2011,1,0,1,7,False,1,1,0.12,0.1212,0.5,0.2239,2,75,77.0
218,10-01-2011,1,0,1,8,False,1,2,0.12,0.1212,0.5,0.2836,4,184,183.5
219,10-01-2011,1,0,1,9,False,1,2,0.14,0.1212,0.5,0.2537,2,92,94.0
220,10-01-2011,1,0,1,10,False,1,2,0.14,0.1212,0.5,0.2985,0,31,31.0
221,10-01-2011,1,0,1,11,False,1,2,0.16,0.1364,0.47,0.2836,2,28,30.0
222,10-01-2011,1,0,1,12,False,1,2,0.2,0.1818,0.4,0.2836,5,47,52.0
223,10-01-2011,1,0,1,13,False,1,2,0.2,0.1818,0.4,0.2836,4,50,54.0
224,10-01-2011,1,0,1,14,False,1,2,0.2,0.197,0.4,0.2239,0,47,47.0
225,10-01-2011,1,0,1,15,False,1,2,0.2,0.197,0.4,0.2239,2,43,45.0
226,10-01-2011,1,0,1,16,False,1,1,0.2,0.2121,0.4,0.1343,4,70,74.0
227,10-01-2011,1,0,1,17,False,1,1,0.2,0.2273,0.4,0.1045,4,174,178.0
228,10-01-2011,1,0,1,18,False,1,1,0.2,0.197,0.4,0.2239,1,154,155.0
229,10-01-2011,1,0,1,19,False,1,1,0.16,0.1667,0.47,0.1642,3,92,95.0
230,10-01-2011,1,0,1,20,False,1,1,0.16,0.1667,0.5,0.1642,1,73,74.0
231,10-01-2011,1,0,1,21,False,1,1,0.14,0.1364,0.59,0.194,1,37,38.0
232,10-01-2011,1,0,1,22,False,1,1,0.14,0.1515,0.59,0.1642,2,22,24.0
233,10-01-2011,1,0,1,23,False,1,1,0.14,0.1515,0.59,0.1642,0,18,18.0
234,11-01-2011,1,0,1,0,False,2,1,0.14,0.1667,0.59,0.1045,2,10,12.0
235,11-01-2011,1,0,1,1,False,2,1,0.14,0.1515,0.59,0.1642,0,3,3.0
236,11-01-2011,1,0,1,2,False,2,2,0.16,0.1515,0.55,0.194,0,3,3.0
237,11-01-2011,1,0,1,5,False,2,2,0.16,0.1818,0.55,0.1343,0,6,6.0
238,11-01-2011,1,0,1,6,False,2,2,0.16,0.1818,0.55,0.1343,0,27,27.0
239,11-01-2011,1,0,1,7,False,2,2,0.16,0.2273,0.55,0.0,2,97,99.0
240,11-01-2011,1,0,1,8,False,2,2,0.18,0.2121,0.51,0.0896,3,214,183.5
241,11-01-2011,1,0,1,9,False,2,2,0.18,0.197,0.51,0.1642,3,127,130.0
242,11-01-2011,1,0,1,10,False,2,2,0.2,0.2121,0.51,0.1642,3,51,54.0
243,11-01-2011,1,0,1,11,False,2,2,0.2,0.2121,0.47,0.1343,4,31,35.0
244,11-01-2011,1,0,1,12,False,2,2,0.2,0.2273,0.51,0.1045,2,55,57.0
245,11-01-2011,1,0,1,13,False,2,2,0.2,0.2273,0.59,0.0896,6,46,52.0
246,11-01-2011,1,0,1,14,False,2,2,0.2,0.2273,0.59,0.0896,3,60,63.0
247,11-01-2011,1,0,1,15,False,2,2,0.16,0.197,0.8,0.0896,2,45,47.0
248,11-01-2011,1,0,1,16,False,2,2,0.16,0.1515,0.86,0.2239,4,72,76.0
249,11-01-2011,1,0,1,17,False,2,2,0.16,0.1515,0.86,0.2239,6,130,136.0
250,11-01-2011,1,0,1,18,False,2,3,0.16,0.1818,0.93,0.1045,1,94,95.0
251,11-01-2011,1,0,1,19,False,2,3,0.16,0.2273,0.93,0.0,0,51,51.0
252,11-01-2011,1,0,1,20,False,2,3,0.16,0.1515,0.93,0.194,0,32,32.0
253,11-01-2011,1,0,1,21,False,2,3,0.16,0.197,0.86,0.0896,0,20,20.0
254,11-01-2011,1,0,1,22,False,2,3,0.16,0.1818,0.93,0.1045,1,28,29.0
255,11-01-2011,1,0,1,23,False,2,3,0.16,0.197,0.93,0.0896,1,18,19.0
256,12-01-2011,1,0,1,0,False,3,2,0.16,0.197,0.86,0.0896,0,7,7.0
257,12-01-2011,1,0,1,1,False,3,2,0.16,0.1818,0.86,0.1045,0,6,6.0
258,12-01-2011,1,0,1,2,False,3,1,0.14,0.1515,0.86,0.1343,0,1,1.0
259,12-01-2011,1,0,1,5,False,3,1,0.14,0.1515,0.86,0.1642,0,5,5.0
260,12-01-2011,1,0,1,6,False,3,1,0.12,0.1515,0.93,0.1343,0,16,16.0
261,12-01-2011,1,0,1,7,False,3,1,0.14,0.1515,0.69,0.1343,0,54,54.0
262,12-01-2011,1,0,1,8,False,3,1,0.16,0.1667,0.59,0.1642,3,125,128.0
263,12-01-2011,1,0,1,9,False,3,1,0.16,0.1364,0.59,0.3284,3,78,81.0
264,12-01-2011,1,0,1,10,False,3,1,0.18,0.1818,0.55,0.2239,0,39,39.0
265,12-01-2011,1,0,1,11,False,3,1,0.2,0.1818,0.51,0.3881,3,32,35.0
266,12-01-2011,1,0,1,12,False,3,1,0.2,0.1515,0.47,0.5522500000000001,3,52,55.0
267,12-01-2011,1,0,1,13,False,3,1,0.22,0.197,0.44,0.3582,0,49,49.0
268,12-01-2011,1,0,1,14,False,3,1,0.2,0.1818,0.47,0.3284,0,44,44.0
269,12-01-2011,1,0,1,15,False,3,1,0.2,0.1667,0.47,0.4179,1,48,49.0
270,12-01-2011,1,0,1,16,False,3,1,0.22,0.197,0.44,0.3284,5,63,68.0
271,12-01-2011,1,0,1,17,False,3,1,0.2,0.1818,0.47,0.3582,0,139,139.0
272,12-01-2011,1,0,1,18,False,3,1,0.2,0.1515,0.47,0.5224,2,135,137.0
273,12-01-2011,1,0,1,19,False,3,1,0.18,0.1515,0.47,0.4179,1,82,83.0
274,12-01-2011,1,0,1,20,False,3,1,0.16,0.1364,0.5,0.3284,2,54,56.0
275,12-01-2011,1,0,1,21,False,3,1,0.16,0.1364,0.55,0.3284,0,57,57.0
276,12-01-2011,1,0,1,22,False,3,1,0.16,0.1212,0.55,0.4478,1,32,33.0
277,12-01-2011,1,0,1,23,False,3,1,0.14,0.1061,0.59,0.4179,1,19,20.0
278,13-01-2011,1,0,1,0,False,4,1,0.14,0.1212,0.59,0.2836,1,6,7.0
279,13-01-2011,1,0,1,1,False,4,1,0.14,0.1212,0.5,0.2836,0,2,2.0
280,13-01-2011,1,0,1,2,False,4,1,0.14,0.1212,0.5,0.3582,0,2,2.0
281,13-01-2011,1,0,1,3,False,4,1,0.14,0.1212,0.5,0.3284,0,3,3.0
282,13-01-2011,1,0,1,4,False,4,1,0.14,0.1212,0.5,0.2537,0,4,4.0
283,13-01-2011,1,0,1,5,False,4,1,0.14,0.1212,0.5,0.2985,0,3,3.0
284,13-01-2011,1,0,1,6,False,4,1,0.12,0.1515,0.54,0.1343,0,28,28.0
285,13-01-2011,1,0,1,7,False,4,1,0.12,0.1515,0.54,0.1343,0,72,72.0
